               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025637,            0.021911,          0.00099307,             0.95726,             0.90849,             0.96295,             0.72983,            0.022108,              0.0333,           0.0010397,            0.006535,            0.006535,            0.006535
                  37,            0.025648,            0.021685,            0.001008,             0.95401,             0.91274,             0.96378,             0.73728,            0.021934,            0.033044,           0.0010488,            0.006436,            0.006436,            0.006436
                  38,            0.025622,            0.021696,           0.0010198,              0.9677,             0.90474,             0.96452,             0.73868,            0.021906,             0.03295,          0.00099907,            0.006337,            0.006337,            0.006337
                  39,            0.025384,            0.021606,           0.0010173,              0.9603,             0.91354,             0.96491,             0.73322,            0.021915,            0.033293,          0.00097215,            0.006238,            0.006238,            0.006238
                  40,            0.025538,             0.02148,           0.0010128,             0.95972,             0.89998,             0.96607,             0.73326,            0.021787,            0.032896,           0.0010271,            0.006139,            0.006139,            0.006139
                  41,            0.025377,            0.021248,           0.0010205,             0.96039,              0.9134,             0.96546,             0.73886,            0.021743,            0.032914,           0.0010165,             0.00604,             0.00604,             0.00604
                  42,            0.025074,            0.021375,           0.0010256,             0.95592,             0.91193,             0.96602,             0.74189,            0.021859,             0.03335,           0.0010007,            0.005941,            0.005941,            0.005941
                  43,            0.025018,             0.02121,           0.0010068,             0.96563,             0.91015,             0.96755,             0.74375,            0.021674,            0.032776,          0.00098971,            0.005842,            0.005842,            0.005842
                  44,            0.024987,            0.021433,           0.0010086,             0.96667,             0.90563,             0.96743,             0.74679,            0.021531,            0.032455,           0.0010113,            0.005743,            0.005743,            0.005743
                  45,            0.024913,            0.021201,           0.0010061,             0.95572,             0.91564,             0.96583,             0.73905,             0.02151,            0.033131,           0.0009643,            0.005644,            0.005644,            0.005644
                  46,            0.024912,            0.021182,          0.00093654,             0.96498,             0.90983,             0.96712,             0.74326,            0.021522,            0.032747,           0.0010433,            0.005545,            0.005545,            0.005545
                  47,            0.024882,            0.020787,           0.0009372,             0.95489,             0.91276,              0.9649,             0.74495,            0.021394,            0.032395,           0.0010562,            0.005446,            0.005446,            0.005446
                  48,            0.024762,            0.020961,          0.00098964,              0.9485,             0.92193,             0.96468,             0.74497,            0.021359,            0.032623,          0.00093941,            0.005347,            0.005347,            0.005347
                  49,            0.024682,            0.021183,           0.0010049,             0.96178,             0.90422,             0.96508,             0.74979,            0.021348,            0.032294,          0.00098845,            0.005248,            0.005248,            0.005248
                  50,            0.024404,            0.020742,          0.00096574,             0.96684,             0.90289,             0.96506,             0.75106,            0.021181,            0.032304,           0.0010043,            0.005149,            0.005149,            0.005149
                  51,            0.024371,            0.020681,          0.00087471,             0.94991,             0.91399,               0.967,             0.75381,             0.02108,            0.032054,          0.00095608,             0.00505,             0.00505,             0.00505
                  52,            0.024389,            0.020583,          0.00093778,             0.96506,              0.9115,              0.9646,             0.75063,            0.021092,            0.032159,          0.00091908,            0.004951,            0.004951,            0.004951
                  53,            0.024243,            0.020567,          0.00093484,             0.96652,             0.90842,             0.96574,             0.75178,            0.021077,            0.031835,          0.00095271,            0.004852,            0.004852,            0.004852
                  54,            0.024426,            0.020562,          0.00094426,             0.95308,              0.9199,              0.9672,              0.7506,            0.020973,            0.032062,          0.00095693,            0.004753,            0.004753,            0.004753
                  55,            0.024417,             0.02069,          0.00090909,             0.96708,              0.9117,             0.96643,             0.75425,            0.020923,             0.03203,          0.00097102,            0.004654,            0.004654,            0.004654
                  56,            0.023892,            0.020481,          0.00093521,             0.95886,             0.92645,             0.96669,             0.75704,            0.020839,            0.031869,          0.00097756,            0.004555,            0.004555,            0.004555
                  57,            0.024095,            0.020362,          0.00095207,             0.97417,              0.9079,             0.96786,             0.75284,            0.020903,            0.031852,          0.00092568,            0.004456,            0.004456,            0.004456
                  58,            0.023909,            0.020476,          0.00089215,             0.95791,             0.92085,             0.96808,             0.75813,            0.020712,            0.031667,           0.0009252,            0.004357,            0.004357,            0.004357
                  59,            0.024137,            0.020383,          0.00091799,             0.96879,             0.92112,              0.9701,             0.75283,            0.020761,            0.031445,           0.0009271,            0.004258,            0.004258,            0.004258
                  60,            0.023796,            0.020339,          0.00090322,              0.9577,              0.9271,             0.96893,             0.75592,            0.020817,            0.031499,          0.00092503,            0.004159,            0.004159,            0.004159
                  61,            0.023923,            0.020163,          0.00092077,             0.96799,             0.92016,             0.96849,              0.7592,            0.020715,            0.031119,          0.00091984,             0.00406,             0.00406,             0.00406
                  62,            0.023837,             0.02033,          0.00093067,             0.96635,             0.91777,              0.9691,             0.76514,            0.020558,            0.031386,            0.000873,            0.003961,            0.003961,            0.003961
                  63,            0.023793,            0.020244,          0.00091622,             0.97008,             0.92584,             0.96928,             0.76252,            0.020524,            0.031081,          0.00092842,            0.003862,            0.003862,            0.003862
                  64,            0.023552,            0.020282,          0.00093788,             0.95669,             0.92621,             0.97028,             0.75985,            0.020513,            0.030988,          0.00088615,            0.003763,            0.003763,            0.003763
                  65,            0.023583,            0.020173,          0.00091601,             0.96514,             0.92331,             0.96952,             0.76223,            0.020482,            0.031207,          0.00084551,            0.003664,            0.003664,            0.003664
                  66,             0.02336,            0.020155,          0.00088684,             0.95647,             0.92202,             0.96846,             0.76739,            0.020483,             0.03118,          0.00083324,            0.003565,            0.003565,            0.003565
                  67,            0.023326,            0.019957,          0.00085469,             0.95697,              0.9232,             0.96981,             0.76211,            0.020503,            0.031094,           0.0008421,            0.003466,            0.003466,            0.003466
                  68,            0.023041,            0.019597,          0.00079433,             0.96707,             0.91697,             0.96853,             0.76365,            0.020394,            0.031123,          0.00084056,            0.003367,            0.003367,            0.003367
                  69,            0.023305,            0.020005,          0.00088404,             0.95087,             0.92922,             0.96876,             0.76484,            0.020277,            0.030835,          0.00081569,            0.003268,            0.003268,            0.003268
                  70,             0.02283,            0.019594,          0.00085917,             0.96353,             0.91977,             0.97002,             0.76457,            0.020199,            0.030897,          0.00083674,            0.003169,            0.003169,            0.003169
                  71,            0.022796,             0.01936,          0.00084694,             0.95822,             0.92678,             0.96814,             0.76753,            0.020202,            0.030678,           0.0008234,             0.00307,             0.00307,             0.00307
                  72,            0.022907,            0.019381,          0.00083297,             0.96699,             0.91508,              0.9677,             0.76747,            0.020164,            0.030536,          0.00080853,            0.002971,            0.002971,            0.002971
                  73,            0.022869,            0.019463,          0.00085394,             0.95589,             0.91663,             0.96776,             0.76389,            0.020182,            0.030615,          0.00080049,            0.002872,            0.002872,            0.002872
                  74,            0.022633,            0.019146,          0.00084336,             0.97182,             0.91264,             0.96891,             0.76853,            0.020059,             0.03046,          0.00080415,            0.002773,            0.002773,            0.002773
                  75,            0.022665,            0.019461,           0.0008839,              0.9668,             0.91264,             0.96981,             0.76759,            0.020029,            0.030464,           0.0008072,            0.002674,            0.002674,            0.002674
                  76,            0.022714,            0.019352,          0.00085405,             0.96196,             0.91355,             0.97009,             0.76963,            0.019984,            0.030491,          0.00080129,            0.002575,            0.002575,            0.002575
                  77,            0.022558,             0.01941,          0.00079831,             0.97559,             0.91563,             0.97025,              0.7714,              0.0199,            0.030338,           0.0008013,            0.002476,            0.002476,            0.002476
                  78,            0.022372,            0.018845,          0.00081111,             0.96374,             0.92608,             0.96958,              0.7706,            0.019922,              0.0305,           0.0008111,            0.002377,            0.002377,            0.002377
                  79,            0.022495,            0.019095,          0.00082911,             0.96141,             0.92442,             0.97045,             0.77243,            0.019897,             0.03034,            0.000784,            0.002278,            0.002278,            0.002278
                  80,            0.022531,            0.019074,          0.00084236,             0.96527,             0.92211,             0.97121,             0.77671,            0.019833,            0.030222,          0.00078501,            0.002179,            0.002179,            0.002179
                  81,            0.022472,            0.019195,          0.00085156,             0.95218,             0.93403,             0.97129,             0.77457,             0.01983,            0.030111,          0.00076893,             0.00208,             0.00208,             0.00208
                  82,            0.022132,            0.018793,          0.00082007,             0.96441,             0.92565,              0.9701,             0.77858,             0.01981,            0.030021,          0.00081498,            0.001981,            0.001981,            0.001981
                  83,            0.022233,            0.018797,          0.00081554,             0.96123,             0.92301,             0.97247,             0.77833,            0.019769,            0.030065,           0.0007812,            0.001882,            0.001882,            0.001882
                  84,            0.022059,            0.018797,          0.00079793,             0.96372,             0.92797,             0.97242,             0.77911,            0.019739,            0.029984,          0.00079368,            0.001783,            0.001783,            0.001783
                  85,            0.021982,            0.018476,          0.00079066,             0.96085,             0.92704,             0.97036,             0.78084,            0.019697,            0.029986,          0.00078578,            0.001684,            0.001684,            0.001684
                  86,            0.021911,            0.018535,          0.00080164,             0.95971,             0.93072,             0.97197,             0.78193,            0.019654,            0.029738,          0.00075691,            0.001585,            0.001585,            0.001585
                  87,            0.021647,            0.018391,          0.00075916,             0.96968,             0.92026,             0.97137,             0.78314,            0.019647,            0.029819,          0.00077389,            0.001486,            0.001486,            0.001486
                  88,            0.021826,            0.018479,          0.00078056,             0.96214,             0.92792,             0.97071,             0.78357,            0.019596,            0.029908,          0.00077792,            0.001387,            0.001387,            0.001387
                  89,            0.021658,            0.018233,            0.000826,             0.97092,             0.92235,             0.97103,             0.78499,             0.01954,            0.029823,          0.00078251,            0.001288,            0.001288,            0.001288
                  90,            0.021687,            0.018271,           0.0007531,             0.96823,             0.92457,             0.97097,             0.78281,            0.019516,            0.029814,          0.00078708,            0.001189,            0.001189,            0.001189
                  91,            0.021467,            0.018298,           0.0007335,             0.96412,             0.92597,             0.97122,             0.78357,            0.019528,            0.029759,          0.00079468,             0.00109,             0.00109,             0.00109
                  92,            0.021432,            0.018373,          0.00074094,             0.96234,             0.92544,             0.97107,             0.78133,            0.019503,            0.029764,          0.00078688,            0.000991,            0.000991,            0.000991
                  93,            0.021475,            0.018006,          0.00073814,             0.96186,             0.92493,               0.971,             0.78477,            0.019475,            0.029734,          0.00078698,            0.000892,            0.000892,            0.000892
                  94,            0.021388,            0.018092,          0.00076395,             0.96268,             0.92367,             0.97106,             0.78464,            0.019463,            0.029602,          0.00078394,            0.000793,            0.000793,            0.000793
                  95,            0.021307,            0.018079,          0.00074676,             0.96224,             0.92209,              0.9708,             0.78586,            0.019456,            0.029685,          0.00078844,            0.000694,            0.000694,            0.000694
                  96,            0.021216,            0.017716,           0.0007855,             0.96518,             0.92139,             0.97142,              0.7852,             0.01943,            0.029666,          0.00078235,            0.000595,            0.000595,            0.000595
                  97,            0.021266,            0.017812,          0.00072569,             0.95998,             0.92782,             0.97171,             0.78797,             0.01941,            0.029643,          0.00078062,            0.000496,            0.000496,            0.000496
                  98,            0.021278,            0.018116,           0.0007644,             0.95751,              0.9278,             0.97108,             0.78792,            0.019401,            0.029646,          0.00078007,            0.000397,            0.000397,            0.000397
                  99,            0.021217,            0.017969,          0.00077213,             0.95659,             0.92831,             0.97161,             0.78832,            0.019385,            0.029635,          0.00078173,            0.000298,            0.000298,            0.000298
